1,6
1,10
1,17
1,23
1,24
1,26
1,27
2,4
2,5
2,7
2,12
2,14
2,17
2,19
2,22
2,23
2,24
2,25
2,26
2,27
3,4
3,5
3,8
3,13
3,16
3,21
3,22
3,23
3,24
3,25
3,26
3,27
4,4
4,5
4,6
4,7
4,9
4,15
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
5,4
5,5
5,6
5,7
5,8
5,10
5,12
5,16
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
7,5
7,6
7,7
7,8
7,9
7,11
7,13
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
9,6
9,7
9,8
9,9
9,10
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
10,4
10,8
10,9
10,10
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
11,5
11,8
11,9
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
12,11
12,13
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,26
13,6
13,8
13,13
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,23
14,8
14,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,21
14,25
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
15,23
16,4
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,19
16,24
17,5
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,21
18,4
18,9
18,10
18,11
18,12
18,13
18,20
18,21
18,22
18,26
19,4
19,5
19,7
19,8
19,9
19,10
19,11
19,12
19,14
19,18
19,19
19,20
19,21
19,22
19,23
19,24
20,7
20,8
20,9
20,10
20,11
20,13
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,27
21,6
21,7
21,8
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,24
22,5
22,6
22,7
22,12
22,17
22,18
22,19
22,20
22,21
22,22
22,23
22,24
22,26
23,4
23,5
23,6
23,13
23,17
23,19
23,20
23,21
23,24
24,14
24,18
24,22
25,20
