edad,credito,cumplio
18,363112,0
19,477965,1
20,239072,0
22,195265,0
22,482174,0
23,468815,0
23,583565,1
24,100000,1
24,199272,1
24,246195,0
24,433444,0
25,100000,0
25,161474,0
25,195341,1
25,478193,1
25,495793,1
26,100000,1
26,208607,1
26,266805,1
26,276709,1
26,291895,1
26,407631,1
26,445160,1
27,207623,1
27,218257,1
27,398762,1
27,547383,1
28,100000,1
28,118958,1
28,119397,1
28,153643,1
28,187467,1
28,243406,1
28,259973,1
28,273124,1
28,274833,1
28,289173,1
28,308992,1
28,357345,1
28,424449,1
28,432323,0
28,433044,1
28,439877,1
28,482278,1
28,528097,1
29,100000,1
29,100000,1
29,217582,1
29,265994,1
29,305338,1
29,362614,1
29,381219,1
29,393918,1
29,590394,0
29,595997,0
30,152192,1
30,157157,0
30,219067,1
30,331027,1
30,370532,1
30,428457,1
30,436650,1
31,100000,1
31,100716,1
31,173752,0
31,177504,1
31,303876,1
31,304800,1
31,392033,1
31,412794,1
32,100000,1
32,165130,1
32,173328,1
32,191508,1
32,195311,1
32,230214,1
32,332027,1
32,345623,1
32,588455,0
33,100968,1
33,140533,1
33,189763,1
33,357116,1
33,406955,1
34,196285,1
34,256538,1
34,274558,1
34,357923,1
34,367047,1
35,100000,1
35,170985,1
35,177721,1
35,299771,1
35,521187,0
36,100000,1
36,108389,1
36,238729,1
36,568053,0
37,299154,0
37,388676,1
38,100000,1
38,171882,1
38,177209,1
38,269784,1
38,279332,1
38,337662,1
38,479766,1
39,159176,1
39,169230,1
39,200101,1
39,303944,1
39,379241,1
40,100000,1
40,100000,0
40,130215,1
40,143372,1
40,302985,1
40,369197,1
40,459974,0
41,111600,1
41,112201,1
41,149010,1
41,227105,1
41,267009,1
41,392966,1
42,100000,1
42,109044,1
42,120819,1
42,163400,1
42,358947,1
42,372481,1
42,520795,1
42,553716,1
43,375658,1
43,415694,1
43,498315,0
44,100000,1
44,177378,1
44,190960,1
44,237074,1
44,257662,1
44,268203,1
44,270403,1
44,292182,1
44,309115,1
44,389438,1
44,486320,0
45,100000,1
45,100000,1
45,111178,0
45,154890,1
45,280269,1
46,119917,1
46,222271,1
46,283137,1
46,308299,1
46,422824,1
46,460678,1
46,472188,1
46,589297,1
46,596771,0
47,147937,1
47,158765,1
47,236111,1
47,236934,1
47,252143,1
47,279902,1
47,280254,1
47,314922,1
47,544233,1
48,198296,1
48,270482,1
48,312077,1
48,421507,1
49,193316,1
49,239760,1
49,396653,1
49,405787,1
49,419385,1
50,100000,1
50,130652,1
50,251501,1
50,330426,1
50,349182,1
50,413133,1
50,414624,0
50,442449,1
51,354045,1
51,379188,1
51,396544,1
52,100000,1
52,341763,0
53,130475,1
53,383222,0
54,275759,0
55,100000,0
55,523144,0
55,543771,0
56,285288,0
57,422969,0
